"","X","ENS","PreB_shPhf23_1_count","PreB_shPhf23_2_count","PreB_shPhf23_3_count","PreB_shRen_1_count","PreB_shRen_2_count","PreB_shRen_3_count","PreB_shPhf23_1_TPM","PreB_shPhf23_2_TPM","PreB_shPhf23_3_TPM","PreB_shRen_1_TPM","PreB_shRen_2_TPM","PreB_shRen_3_TPM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","cluster"
"20589",20589,"ENSMUSG00000005886",2524,2313,2466,2289,2425,2139,0.642177442,0.599638738,0.622790181,0.571759258,0.616989024,0.63928318,2298.301599,0.067906253,0.057383089,1.183384407,0.236656834,0.648415126,"Ncoa2",17978,"co_binding_RNA"
"19874",19874,"ENSMUSG00000026121",9,5,5,7,5,6,0.006752899,0.003822664,0.003723923,0.00515641,0.00375161,0.005288296,6.385766699,0.051798913,0.664744576,0.077923033,0.937889277,NA,"Sema4c",20353,"co_binding_RNA"
"22225",22225,"ENSMUSG00000026082",831,878,818,737,823,745,0.43482988,0.468124342,0.424868613,0.37860606,0.430643792,0.457921913,787.3039655,0.108298975,0.077511827,1.397192915,0.162355567,0.558621135,"Rev1",56210,"co_binding_RNA"
"14845",14845,"ENSMUSG00000026103",5020,4916,5054,4794,4911,5146,1.191583083,1.18899722,1.190800034,1.117172814,1.165710064,1.434852277,4780.813303,-0.016963077,0.07083419,-0.239475842,0.810736627,0.952159338,"Gls",14660,"co_binding_RNA"
"22760",22760,"ENSMUSG00000025980",18751,19552,21902,18738,18522,17047,41.56443926,44.16081031,48.1908133,40.77767346,41.05682598,44.38766001,17747.94212,0.124037955,0.057050071,2.174194564,0.029690526,0.244422316,"Hspd1",15510,"co_binding_RNA"
"33869",33869,"ENSMUSG00000045336",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Hsfy2",71066,"co_binding_RNA"
"22730",22730,"ENSMUSG00000041040",892,915,976,856,925,738,0.723715947,0.75643695,0.786024521,0.681834182,0.750490191,0.703358025,895.1229289,0.12304292,0.073867539,1.66572383,0.095768433,0.444483687,"Fam117b",72750,"co_binding_RNA"
"12316",12316,"ENSMUSG00000026219",5354,5120,5369,5598,5598,4950,1.430066328,1.393465203,1.423489301,1.467953928,1.495239317,1.553101399,5036.48547,-0.050320588,0.047073225,-1.06898534,0.285076275,0.690023766,"Trip12",14897,"co_binding_RNA"
"29139",29139,"ENSMUSG00000026220",1,0,0,0,0,0,0.001718013,0,0,0,0,0,0.09776859,0.936582435,4.080455872,0.229528872,0.818457883,NA,"Slc16a14",71781,"co_binding_RNA"
"11552",11552,"ENSMUSG00000089844",144,150,119,135,168,124,0.473258133,0.502313912,0.388208951,0.435583159,0.552134489,0.478711739,139.5296889,-0.067676483,0.153791607,-0.440053166,0.659898601,0.903185483,"A530032D15Rik",381287,"co_binding_RNA"
"22053",22053,"ENSMUSG00000070034",3075,2611,2421,2611,2643,2184,1.727534902,1.49464115,1.350079953,1.440092203,1.484837315,1.441289231,2711.907054,0.103936457,0.078211511,1.328915095,0.183875983,0.586754158,"Sp110",109032,"co_binding_RNA"
"22654",22654,"ENSMUSG00000026234",49143,49426,50139,43941,47499,42953,21.81329154,22.35441745,22.09114345,19.14834273,21.08356296,22.39596801,43270.75438,0.120840973,0.056866287,2.125002004,0.033586446,0.260840698,"Ncl",17975,"co_binding_RNA"
"20052",20052,"ENSMUSG00000026238",107159,104283,100975,101596,109458,85690,201.7224672,200.0264782,188.678524,187.7603757,206.0502414,189.4840068,96336.78598,0.055414466,0.056037819,0.988876208,0.322723712,0.723282279,"Ptma",19231,"co_binding_RNA"
"23283",23283,"ENSMUSG00000026280",778,777,903,767,773,654,0.415827878,0.4231588,0.479076364,0.40246775,0.413155462,0.410609082,784.2860582,0.141928648,0.075020043,1.891876387,0.058507453,0.352029759,"Atg4b",66615,"co_binding_RNA"
"19335",19335,"ENSMUSG00000044768",1436,1295,1452,1375,1417,1213,0.199393266,0.183220544,0.200126985,0.187439217,0.196755054,0.197848903,1318.089365,0.040129656,0.063366973,0.633289786,0.526544422,0.844192279,"D1Ertd622e",52392,"co_binding_RNA"
"24314",24314,"ENSMUSG00000038866",2550,2432,2362,2331,2135,1891,1.069853308,1.039671112,0.983664359,0.960125588,0.895739927,0.931949501,2257.282053,0.186879116,0.060840636,3.071616749,0.002129029,0.046822258,"Zcchc2",227449,"co_binding_RNA"
"7324",7324,"ENSMUSG00000057329",51,60,72,72,86,58,0.031293636,0.037513316,0.043853204,0.04337306,0.05276966,0.041805232,65.44123995,-0.257618824,0.211974093,-1.215331649,0.224239626,0.635907842,"Bcl2",12043,"co_binding_RNA"
"20932",20932,"ENSMUSG00000098923",446,468,453,451,435,391,0.783285718,0.837489857,0.789708005,0.777613172,0.763967012,0.806638422,446.764367,0.075841207,0.088936098,0.852760682,0.393792032,0.775547363,"Tmem185b",226351,"co_binding_RNA"
"17777",17777,"ENSMUSG00000036155",893,835,864,811,904,818,0.379914889,0.361967588,0.36486448,0.338732936,0.384594692,0.408794418,858.2985935,0.007998253,0.087699311,0.091200863,0.927332989,0.983428774,"Mgat5",107895,"co_binding_RNA"
"11187",11187,"ENSMUSG00000042207",153,145,167,140,178,164,0.045692474,0.044123463,0.049505414,0.041047148,0.053158564,0.057532584,157.0012833,-0.078622101,0.151939504,-0.517456609,0.604837451,0.882410413,"Kdm5b",75605,"co_binding_RNA"
"11142",11142,"ENSMUSG00000026565",2010,2104,2075,2096,2340,2002,0.51508434,0.549384468,0.527817006,0.527321264,0.599650425,0.602647223,2058.515116,-0.079918893,0.066806231,-1.196279033,0.231587688,0.64355341,"Pou2f1",18986,"co_binding_RNA"
"17679",17679,"ENSMUSG00000026558",9705,9141,9033,10190,9353,7848,7.913698242,7.594969051,7.311373086,8.157551938,7.626668692,7.51726289,9087.821622,0.006302501,0.059035799,0.10675728,0.914981539,0.979444201,"Uck2",80914,"co_binding_RNA"
"44672",44672,"ENSMUSG00000099119",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Mir6546",102466998,"co_binding_RNA"
"22577",22577,"ENSMUSG00000013973",166,130,131,143,125,119,0.0925409,0.073844361,0.072490303,0.078264242,0.069684412,0.077927257,147.4818911,0.118741277,0.149488479,0.794317247,0.427010766,0.793086041,"Dedd",21945,"co_binding_RNA"
"21958",21958,"ENSMUSG00000006412",907,970,1117,977,990,785,1.937926942,2.111787432,2.369006628,2.049398407,2.115267555,1.970228368,963.1632295,0.101798673,0.081513815,1.248851786,0.211719289,0.622054283,"Pfdn2",18637,"co_binding_RNA"
"23281",23281,"ENSMUSG00000006411",3,8,7,5,5,6,0.002396746,0.00651237,0.005551135,0.003921683,0.003994576,0.005630783,5.932569947,0.141851946,0.724835177,0.195702348,0.844843146,NA,"Nectin4",71740,"co_binding_RNA"
"20677",20677,"ENSMUSG00000048865",4785,4558,4448,4430,4487,4011,1.761015674,1.709243564,1.624909011,1.600614411,1.651343224,1.734006571,4561.620991,0.069950288,0.049012264,1.427199678,0.153522347,0.543439795,"Arhgap30",226652,"co_binding_RNA"
"18780",18780,"ENSMUSG00000026641",1063,1124,1098,1027,1212,937,0.897715422,0.967208459,0.920429969,0.851486138,1.023547593,0.929526574,1095.426921,0.028309408,0.070872461,0.399441583,0.68956786,0.915180152,"Usf1",22278,"co_binding_RNA"
"10416",10416,"ENSMUSG00000060244",110,103,98,102,132,95,0.531909385,0.507493572,0.470385616,0.484224609,0.638291262,0.539616687,99.08622311,-0.10108695,0.179105172,-0.564399949,0.572481974,0.868336871,"Alyref2",56009,"co_binding_RNA"
"6571",6571,"ENSMUSG00000026546",0,4,0,0,3,2,0,0.003410672,0,0,0.002510458,0.001965977,1.880202786,-0.34043756,1.521614397,-0.22373445,0.822963938,NA,"Cfap45",71870,"co_binding_RNA"
"9734",9734,"ENSMUSG00000090272",5870,5027,5625,5613,6234,5825,5.651176103,4.931260874,5.375343916,5.30514794,6.001606785,6.58739138,5350.751331,-0.124776612,0.071041631,-1.756387204,0.079022316,0.408483889,"Mndal",100040462,"co_binding_RNA"
"15146",15146,"ENSMUSG00000019699",1242,1308,1371,1304,1287,1289,0.870268375,0.93387275,0.953568837,0.897038152,0.901799838,1.060965644,1250.365722,-0.011891734,0.078993393,-0.150540864,0.880337913,0.969911061,"Akt3",23797,"co_binding_RNA"
"15294",15294,"ENSMUSG00000060743",7011,6519,6779,7694,6801,5679,8.425850802,7.982944902,8.086906478,9.077948127,8.173471874,8.017195314,7278.532302,-0.008929522,0.07612379,-0.117302649,0.906620226,0.977671709,"H3f3a",15078,"co_binding_RNA"
"21142",21142,"ENSMUSG00000026511",1456,1596,1469,1607,1423,1190,1.277453694,1.426806344,1.279347652,1.384208097,1.248500416,1.226443513,1351.674534,0.081021166,0.075199213,1.077420392,0.281292498,0.686206444,"Srp9",27058,"co_binding_RNA"
"22909",22909,"ENSMUSG00000026626",6177,6070,5800,5708,5679,4881,3.350669913,3.354988909,3.122949973,3.039763013,3.080533339,3.110137931,5451.332928,0.128349421,0.047241231,2.716894099,0.006589769,0.103347393,"Ppp2r5a",226849,"co_binding_RNA"
"8492",8492,"ENSMUSG00000037434",114,139,135,142,157,134,0.118517686,0.147245308,0.139314098,0.144933364,0.163221725,0.163643932,135.2908362,-0.180707884,0.148586582,-1.216179023,0.223916733,0.635414429,"Slc30a1",22782,"co_binding_RNA"
"11415",11415,"ENSMUSG00000019773",1539,1480,1522,1585,1518,1578,4.055450951,3.973842057,3.981054975,4.100449967,4.000113414,4.884547417,1510.941217,-0.071842879,0.072850064,-0.986174548,0.324047467,0.723696165,"Fbxo5",67141,"co_binding_RNA"
"8812",8812,"ENSMUSG00000015202",245,255,238,269,293,252,0.386106593,0.409477145,0.372306895,0.416193344,0.461751966,0.466507329,260.0854569,-0.163914118,0.109241704,-1.500472001,0.133492181,0.508759137,"Cnksr3",215748,"co_binding_RNA"
"11111",11111,"ENSMUSG00000071369",757,726,744,754,812,749,0.607697076,0.59384929,0.592853233,0.59424335,0.65184944,0.7063011,762.221113,-0.080750951,0.073775135,-1.094555099,0.273711596,0.680871065,"Map3k5",26408,"co_binding_RNA"
"18763",18763,"ENSMUSG00000075232",4827,5209,5176,5200,5129,4375,5.403397915,5.94144885,5.751311746,5.714716795,5.741460101,5.752869297,4577.02351,0.028083811,0.054617291,0.514192678,0.607117286,0.883519127,"Amd1",11702,"co_binding_RNA"
"27214",27214,"ENSMUSG00000111342",14,17,15,13,12,7,0.03098849,0.038341549,0.032956921,0.028249935,0.026561563,0.018200664,13.21774746,0.509021717,0.459012719,1.108949045,0.267452164,0.674741418,"4933404K13Rik",71018,"co_binding_RNA"
"36478",36478,"ENSMUSG00000075045",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Gm4981",245263,"co_binding_RNA"
"24109",24109,"ENSMUSG00000019564",1965,1978,1899,1923,1663,1510,0.8460994,0.867827629,0.811646249,0.812905073,0.716062749,0.763752381,1829.344978,0.175936599,0.06547663,2.687013663,0.0072094,0.110124714,"Arid3a",13496,"co_binding_RNA"
"14500",14500,"ENSMUSG00000075706",1465,1518,1581,1589,1627,1354,2.550343862,2.692658272,2.731970305,2.715730875,2.832361408,2.768831821,1455.88628,-0.023025115,0.061235025,-0.376012178,0.706907842,0.922058123,"Gpx4",625249,"co_binding_RNA"
"22531",22531,"ENSMUSG00000035621",2187,2066,2210,2090,2075,1709,1.652638055,1.590770894,1.657693478,1.55051856,1.568003642,1.517007844,2143.321772,0.117372713,0.063304716,1.854091142,0.063726122,0.366094405,"Midn",59090,"co_binding_RNA"
"10229",10229,"ENSMUSG00000045193",456,428,398,518,447,396,0.606388608,0.579933656,0.525354253,0.676266178,0.594420412,0.618583276,446.3991411,-0.106837247,0.104062356,-1.026665658,0.304577926,0.707332941,"Cirbp",12696,"co_binding_RNA"
"22134",22134,"ENSMUSG00000069565",7163,6812,6963,6586,7037,5567,8.662645468,8.394185878,8.358627544,7.819500882,8.510266111,7.908490703,6932.231342,0.10607969,0.050841018,2.086498152,0.036933522,0.275749991,"Dazap1",70248,"co_binding_RNA"
"14530",14530,"ENSMUSG00000035478",2433,2711,2552,2604,3040,2091,3.481329054,3.952581526,3.624654573,3.658016523,4.349872719,3.514582937,2669.165309,-0.022413774,0.077832645,-0.287973952,0.773366677,0.941475551,"Mbd3",17192,"co_binding_RNA"
"22479",22479,"ENSMUSG00000020190",8036,8172,8243,8071,7969,6249,7.748549673,8.028921366,7.889487318,7.64028498,7.683946285,7.077955303,8429.39207,0.115765531,0.055787204,2.07512697,0.037974769,0.279579049,"Mknk2",17347,"co_binding_RNA"
"10922",10922,"ENSMUSG00000060935",612,597,625,648,677,591,0.793272911,0.788485818,0.804144709,0.824608724,0.877525753,0.899861105,611.9977243,-0.085993522,0.074965737,-1.147104332,0.251338504,0.660076688,"Tmem263",103266,"co_binding_RNA"
"12200",12200,"ENSMUSG00000019979",1809,1600,1746,1733,1916,1613,0.718979651,0.647957271,0.688819226,0.676204897,0.761506363,0.753059336,1707.896587,-0.052610383,0.064189525,-0.819610098,0.412438415,0.785660781,"Apaf1",11783,"co_binding_RNA"
"22776",22776,"ENSMUSG00000008398",393,395,422,370,417,308,0.32333165,0.331131973,0.344628435,0.298854025,0.343077094,0.297661854,366.9868448,0.124504628,0.095770318,1.300033566,0.193589465,0.598887951,"Elk3",13713,"co_binding_RNA"
"7848",7848,"ENSMUSG00000020021",198,226,264,250,280,257,0.136180689,0.158382476,0.18023422,0.168807626,0.192578752,0.207634854,240.6929618,-0.219244842,0.123641638,-1.77322822,0.076190898,0.402271055,"Fgd6",13998,"co_binding_RNA"
"11827",11827,"ENSMUSG00000019943",1362,1484,1534,1508,1533,1450,0.423433573,0.4701002,0.473387221,0.460268486,0.476595938,0.529532941,1386.923698,-0.061313567,0.067798694,-0.904347316,0.365811265,0.756489921,"Atp2b1",67972,"co_binding_RNA"
"27360",27360,"ENSMUSG00000019960",175,111,79,109,83,57,0.181720208,0.117445534,0.081428279,0.111120297,0.086187299,0.069527535,101.7684549,0.542995481,0.487159943,1.114614386,0.265015703,0.673018233,"Dusp6",67603,"co_binding_RNA"
"9032",9032,"ENSMUSG00000035798",540,483,552,494,603,617,0.22126385,0.201656483,0.224511593,0.198721735,0.247077966,0.296974162,524.7563068,-0.153558921,0.112753926,-1.361894224,0.173231269,0.57418876,"Zdhhc17",320150,"co_binding_RNA"
"9996",9996,"ENSMUSG00000020166",3661,3408,3919,4017,4158,3544,1.657532088,1.572208555,1.76124782,1.785524299,1.882550785,1.884832348,3569.213401,-0.115534209,0.052208458,-2.212940454,0.026901751,0.233090592,"Cnot2",72068,"co_binding_RNA"
"21235",21235,"ENSMUSG00000040462",1627,1651,1601,1664,1610,1273,2.360968868,2.441170617,2.306094121,2.370597089,2.336299864,2.169940916,1627.188126,0.083350244,0.067570923,1.233522348,0.217380944,0.628192843,"Os9",216440,"co_binding_RNA"
"18542",18542,"ENSMUSG00000061315",9562,10326,11402,10447,10338,9486,8.414617754,9.259043549,9.959778469,9.025659904,9.097502441,9.805857346,9782.061792,0.023336545,0.061021574,0.382431057,0.702141658,0.920645999,"Naca",17938,"co_binding_RNA"
"15345",15345,"ENSMUSG00000071072",6429,6164,6625,6714,6417,5876,10.9685765,10.71563288,11.21955714,11.24578813,10.94810319,11.77620691,6190.383844,-0.007787332,0.050076696,-0.155508103,0.876420766,0.968704063,"Ptges3",56351,"co_binding_RNA"
"19288",19288,"ENSMUSG00000025381",469,476,498,452,521,411,1.028132555,1.063240655,1.083648914,0.972784003,1.14212593,1.058363583,485.4471867,0.039018602,0.091648924,0.425739876,0.670297402,0.906612348,"Cnpy2",56530,"co_binding_RNA"
"17991",17991,"ENSMUSG00000014498",5205,5376,5023,5466,5397,4405,3.093870018,3.25603409,2.963653986,3.18972083,3.207995483,3.07570048,5451.436188,0.012383175,0.057930468,0.213759283,0.830734778,0.957131629,"Ankrd52",237615,"co_binding_RNA"
"18923",18923,"ENSMUSG00000025373",549,633,634,566,669,517,0.384552526,0.451788723,0.440814194,0.389225667,0.468607722,0.425393318,600.7792562,0.031302218,0.088251519,0.35469325,0.722819408,0.928430012,"Rnf41",67588,"co_binding_RNA"
"21130",21130,"ENSMUSG00000025358",2643,2517,2893,2540,2679,2276,1.172566664,1.13781577,1.274006966,1.106307391,1.18853806,1.186122203,2584.15559,0.080866649,0.055318514,1.46183697,0.14378589,0.526648621,"Cdk2",12566,"co_binding_RNA"
"18062",18062,"ENSMUSG00000047090",58,57,52,57,58,48,0.056716005,0.056793789,0.050473564,0.054721023,0.056716005,0.055136053,60.27201242,0.013815705,0.219269234,0.063007949,0.949760175,0.98906529,"Tmem198b",73827,"co_binding_RNA"
"14959",14959,"ENSMUSG00000020457",1836,1877,1924,2099,1871,1646,2.122396088,2.210886182,2.207708941,2.382143476,2.162855709,2.235117651,1810.594288,-0.015425117,0.063398168,-0.243305413,0.807768811,0.950907974,"Drg1",13494,"co_binding_RNA"
"23389",23389,"ENSMUSG00000020453",1847,1868,1734,1798,1630,1427,0.75973747,0.782928091,0.707992624,0.726085987,0.670477572,0.689505002,1789.078259,0.145956577,0.063346676,2.304092128,0.021217473,0.205166023,"Patz1",56218,"co_binding_RNA"
"9928",9928,"ENSMUSG00000034614",264,247,228,291,278,222,0.179627452,0.171243497,0.153987908,0.194385331,0.18915315,0.177434699,273.6768644,-0.117573996,0.114513932,-1.026722198,0.304551294,0.707332941,"Pik3ip1",216505,"co_binding_RNA"
"10116",10116,"ENSMUSG00000020484",1893,1942,1906,2165,1974,1955,2.533731415,2.648546126,2.532304039,2.844916866,2.642147815,3.073785245,1828.108906,-0.111252715,0.065515439,-1.698114471,0.089486159,0.431920532,"Xbp1",22433,"co_binding_RNA"
"17711",17711,"ENSMUSG00000020476",2418,2270,2224,2519,2384,1891,3.836170866,3.669575744,3.502348984,3.923480792,3.782229671,3.524114194,2325.992691,0.006926023,0.069501894,0.099652286,0.920620382,0.981790788,"Dbnl",13169,"co_binding_RNA"
"18344",18344,"ENSMUSG00000071866",33023,31596,32754,34794,33643,26475,30.74376497,29.9723631,30.26828822,31.80142663,31.32097281,28.95298153,33085.71912,0.019333257,0.060806239,0.317948578,0.750523943,0.934863828,"Ppia",268373,"co_binding_RNA"
"19486",19486,"ENSMUSG00000094483",5497,5429,5981,5513,5455,5151,4.06750396,4.093270469,4.392978108,4.004902588,4.036426069,4.477242267,5306.602694,0.043185592,0.062515692,0.690796037,0.489693726,0.825377215,"Purb",19291,"co_binding_RNA"
"24602",24602,"ENSMUSG00000085156",342,361,361,307,327,277,0.957793289,1.030151831,1.003542743,0.84408421,0.915784811,0.911259881,319.7763983,0.201897317,0.103514337,1.950428544,0.051125062,0.330195528,"Snhg15",100041286,"co_binding_RNA"
"24280",24280,"ENSMUSG00000000384",3112,2853,3125,2634,2884,2358,2.354228669,2.199171915,2.346616211,1.956259859,2.18174662,2.095413098,2956.438945,0.18502724,0.055782252,3.316955379,0.000910041,0.025383499,"Tbrg4",21379,"co_binding_RNA"
"22391",22391,"ENSMUSG00000078970",428,450,487,494,402,349,0.741727163,0.794623275,0.837746004,0.840483285,0.696668971,0.71046492,430.3946751,0.113007575,0.099710721,1.133354307,0.257065494,0.666118049,"Wdr92",103784,"co_binding_RNA"
"20774",20774,"ENSMUSG00000045671",373,372,363,354,372,312,0.32786728,0.333181239,0.316722458,0.305488049,0.326988279,0.322151855,326.0847648,0.072431085,0.095759574,0.756384782,0.449418529,0.804932638,"Spred2",114716,"co_binding_RNA"
"15139",15139,"ENSMUSG00000020463",3313,3422,3729,3330,3610,3415,2.543482511,2.676921761,2.841729216,2.509881807,2.771497695,3.079745473,3357.834952,-0.011980695,0.067135982,-0.178454155,0.858366322,0.963005929,"Ppp4r3b",104570,"co_binding_RNA"
"20040",20040,"ENSMUSG00000020519",311,335,307,310,339,256,1.663253466,1.82553939,1.629744082,1.627651636,1.812999759,1.608254633,339.938964,0.055135848,0.101615401,0.542593422,0.587409769,0.873745922,"Sap30l",50724,"co_binding_RNA"
"24591",24591,"ENSMUSG00000037331",14958,14773,14293,13749,13086,10943,8.264616889,8.316991325,7.838908233,7.457993949,7.230296605,7.102355301,14007.29999,0.201262418,0.048701311,4.132587295,3.59e-05,0.002174269,"Larp1",73158,"co_binding_RNA"
"9711",9711,"ENSMUSG00000020515",1547,1432,1485,1686,1732,1385,3.25565079,3.070710489,3.102108217,3.483427602,3.644982009,3.423844817,1499.091345,-0.125678304,0.060167715,-2.088799675,0.03672576,0.274843258,"Cnot8",69125,"co_binding_RNA"
"12628",12628,"ENSMUSG00000062115",2764,2859,2537,2772,3022,2494,0.910970454,0.960127174,0.829983979,0.896935464,0.996003152,0.96556052,2988.047227,-0.043318685,0.066105371,-0.655297513,0.512276222,0.836341692,"Rai1",19377,"co_binding_RNA"
"31964",31964,"ENSMUSG00000098547",1,2,2,0,1,0,0.076945528,0.15680566,0.152755329,0,0.076945528,0,0.878194557,2.193521567,1.811164924,1.211110892,0.225852908,NA,"Mir6921",102465555,"co_binding_RNA"
"10962",10962,"ENSMUSG00000020536",1010,1018,1038,1115,1152,938,0.96330937,0.989328549,0.982708592,1.044049273,1.098744944,1.050906424,1123.774296,-0.084696829,0.063196728,-1.340209098,0.180177375,0.5826618,"Llgl1",16897,"co_binding_RNA"
"19912",19912,"ENSMUSG00000018501",9870,9534,9688,9495,9893,8252,2.389248063,2.351622413,2.327883324,2.256528257,2.394815713,2.34649756,9167.158981,0.052594988,0.040550847,1.297013292,0.194626614,0.599539388,"Ncor1",20185,"co_binding_RNA"
"5760",5760,"ENSMUSG00000020895",102,125,118,196,149,122,0.142117589,0.177462268,0.163197183,0.268105331,0.207603145,0.199675274,136.0589067,-0.453439057,0.171981483,-2.636557433,0.008375202,0.120729594,"Tmem107",66910,"co_binding_RNA"
"24147",24147,"ENSMUSG00000018474",2545,2702,2678,2267,2452,2172,1.264823956,1.368283198,1.321100503,1.106102906,1.218604456,1.267999011,2541.424942,0.177973883,0.056281018,3.162236357,0.001565624,0.037567558,"Chd3",216848,"co_binding_RNA"
"22547",22547,"ENSMUSG00000044367",110,122,111,103,123,86,0.183302828,0.20714987,0.183604131,0.168506021,0.20496589,0.168341708,115.4222344,0.117918367,0.163299264,0.722099804,0.470233119,0.816517757,"Slc16a13",69309,"co_binding_RNA"
"5492",5492,"ENSMUSG00000020831",14,14,18,24,18,22,0.01547477,0.015767852,0.019749297,0.026044086,0.019896132,0.028565092,18.69147325,-0.50380165,0.38505887,-1.308375651,0.190745927,0.59544552,"0610010K14Rik",104457,"co_binding_RNA"
"9914",9914,"ENSMUSG00000040447",84,68,88,96,78,82,0.066359593,0.054737089,0.069006514,0.074455602,0.061619622,0.076094817,88.77688356,-0.118243708,0.186132171,-0.635267444,0.525254003,0.84357337,"Spns2",216892,"co_binding_RNA"
"17313",17313,"ENSMUSG00000020794",1845,1672,1840,1858,1871,1550,1.941063058,1.792370964,1.921516357,1.919069488,1.968416792,1.9155424,1666.287023,1.5e-05,0.060063875,0.00025016,0.999800401,0.999800401,"Ube2g1",67128,"co_binding_RNA"
"10397",10397,"ENSMUSG00000000282",1103,985,978,1116,1145,979,1.155295797,1.051240937,1.016809336,1.147581644,1.199287115,1.204528751,1145.382408,-0.10172005,0.06808128,-1.494097214,0.135150212,0.510541012,"Mnt",17428,"co_binding_RNA"
"23422",23422,"ENSMUSG00000038335",1523,1596,1703,1421,1510,1351,1.123701683,1.199864953,1.247236366,1.029311733,1.114110008,1.170909352,1493.880411,0.147299672,0.06367793,2.313198197,0.020711745,0.202073142,"Tsr1",104662,"co_binding_RNA"
"21345",21345,"ENSMUSG00000038268",154,117,167,153,119,133,0.277589724,0.214890333,0.298801053,0.27075458,0.21450115,0.281611965,145.0356133,0.085647698,0.169166143,0.506293377,0.612650712,0.886114063,"Ovca2",246257,"co_binding_RNA"
"7403",7403,"ENSMUSG00000045287",8,11,14,15,17,7,0.013970252,0.019572905,0.024267513,0.025716226,0.029686785,0.014359162,12.51918507,-0.250804377,0.479784455,-0.522743858,0.601152513,0.881457408,"Rtn4rl1",237847,"co_binding_RNA"
"4823",4823,"ENSMUSG00000085148",4,5,2,5,7,5,0.011186992,0.014248583,0.005552215,0.013728562,0.019577236,0.016426314,4.659484255,-0.646569514,0.78270268,-0.826072953,0.408762709,NA,"Mir22hg",100042498,"co_binding_RNA"
"14902",14902,"ENSMUSG00000038178",975,891,820,963,948,769,0.310248188,0.288888793,0.259001023,0.300837965,0.3016567,0.287440378,922.0080948,-0.016389372,0.077403768,-0.211738679,0.832310911,0.957535773,"Slc43a2",215113,"co_binding_RNA"
"12668",12668,"ENSMUSG00000037857",2010,1989,2294,1990,2283,2089,1.794465688,1.809348553,2.032897604,1.744190412,2.038191625,2.19075766,2008.28554,-0.042591356,0.073891247,-0.57640598,0.564340803,0.862977459,"Nufip2",68564,"co_binding_RNA"
"5789",5789,"ENSMUSG00000002058",155,144,130,214,196,167,0.145401486,0.137641054,0.121049636,0.197084575,0.183862524,0.184022283,174.6848579,-0.44818697,0.135709096,-3.302556589,0.000958078,0.026363399,"Unc119",22248,"co_binding_RNA"
"14405",14405,"ENSMUSG00000018334",408,363,395,403,414,351,0.3180727,0.288350833,0.305665425,0.308441634,0.32275024,0.321432767,413.5624256,-0.024671321,0.093258663,-0.264547235,0.791358273,0.94590869,"Ksr1",16706,"co_binding_RNA"
"19178",19178,"ENSMUSG00000017548",7214,7093,7550,7289,7126,6539,5.034784942,5.044093167,5.230397882,4.99429802,4.973368103,5.360840941,6854.62224,0.036758448,0.049700298,0.739602159,0.459541431,0.811255913,"Suz12",52615,"co_binding_RNA"
"10142",10142,"ENSMUSG00000034329",1147,1046,1217,1169,1246,1197,0.904847066,0.840798257,0.952983392,0.905373947,0.982946334,1.109232825,1133.660266,-0.110297529,0.07732557,-1.426404334,0.153751663,0.543693266,"Brip1",237911,"co_binding_RNA"
"35531",35531,"ENSMUSG00000065455",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Mir21a",387140,"co_binding_RNA"
"19704",19704,"ENSMUSG00000018379",16982,17626,19578,16941,17874,16653,9.18182843,9.710519299,10.50731253,8.992513458,9.664115025,10.57668613,16640.39055,0.047854265,0.059239157,0.807814746,0.419197235,0.789037546,"Srsf1",110809,"co_binding_RNA"
"21279",21279,"ENSMUSG00000018428",1652,1576,1528,1621,1534,1270,1.18245593,1.149421951,1.08562857,1.139094231,1.097994792,1.067813579,1531.855659,0.084311321,0.062218465,1.355085208,0.175390411,0.576052781,"Akap1",11640,"co_binding_RNA"
"22717",22717,"ENSMUSG00000059474",2412,2494,2549,2230,2258,2232,0.7099268,0.747964646,0.74471327,0.644381181,0.664599799,0.771697789,2213.512259,0.12279298,0.061381161,2.000499461,0.045446358,0.309114522,"Mbtd1",103537,"co_binding_RNA"
"8688",8688,"ENSMUSG00000038976",885,893,867,1005,1037,889,0.952069799,0.978870702,0.925822231,1.061434739,1.115589132,1.123424981,938.5985348,-0.170106392,0.068742705,-2.474537369,0.013340886,0.160258798,"Ppp1r9b",217124,"co_binding_RNA"
"12739",12739,"ENSMUSG00000020872",2,2,0,1,1,2,0.009841155,0.01002754,0,0.004830786,0.004920577,0.011560134,1.139831236,-0.041193261,1.627883076,-0.025304803,0.979811843,NA,"Tac4",93670,"co_binding_RNA"
"18569",18569,"ENSMUSG00000057522",2707,2770,2971,2857,2906,2425,3.996959359,4.167442331,4.354387931,4.141459648,4.290788289,4.206007253,2706.823558,0.023914619,0.051956457,0.460281936,0.645313865,0.897495869,"Spop",20747,"co_binding_RNA"
