"","X","ENS","PreB_shPhf23_1_count","PreB_shPhf23_2_count","PreB_shPhf23_3_count","PreB_shRen_1_count","PreB_shRen_2_count","PreB_shRen_3_count","PreB_shPhf23_1_TPM","PreB_shPhf23_2_TPM","PreB_shPhf23_3_TPM","PreB_shRen_1_TPM","PreB_shRen_2_TPM","PreB_shRen_3_TPM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","cluster"
"14699",14699,"ENSMUSG00000037679",1042,986,906,1023,1024,883,1.228299353,1.184300117,1.060102091,1.183896823,1.20708113,1.222683371,1020.566866,-0.019692374,0.071049768,-0.277163101,0.781654871,0.943579086,"Inf2",70435,"H3K4me3_H3K27ac_RNA"
"6659",6659,"ENSMUSG00000037638",74,81,80,108,109,75,0.063950235,0.071325332,0.068625165,0.091629623,0.094196968,0.076135725,92.55270693,-0.330362346,0.18202579,-1.814920551,0.06953612,0.384457719,"Zbtb42",382639,"H3K4me3_H3K27ac_RNA"
"18942",18942,"ENSMUSG00000021298",654,615,618,632,626,559,1.466590175,1.405252905,1.375632688,1.391393014,1.403800382,1.472514664,633.8880639,0.031703342,0.078757596,0.402543287,0.687284238,0.914394094,"Gpr132",56696,"H3K4me3_H3K27ac_RNA"
"44215",44215,"ENSMUSG00000098338",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Mir6941",102465567,"H3K4me3_H3K27ac_RNA"
"13414",13414,"ENSMUSG00000039233",685,688,749,702,708,714,0.459927459,0.470690636,0.499187353,0.462740591,0.475370278,0.563136629,702.6984575,-0.02845827,0.082644738,-0.344344603,0.730587144,0.929572161,"Tbce",70430,"H3K4me3_H3K27ac_RNA"
"7780",7780,"ENSMUSG00000058773",2,14,5,10,4,10,0.016569696,0.118184616,0.041118527,0.081336649,0.033139393,0.097319833,6.650015882,-0.22426088,0.696298084,-0.322075969,0.747395143,NA,"Hist1h1b",56702,"H3K4me3_H3K27ac_RNA"
"27140",27140,"ENSMUSG00000069306",65,59,57,48,45,34,0.995315289,0.920550638,0.866373507,0.721589613,0.689064431,0.611565578,48.64320572,0.492143934,0.239064609,2.058623128,0.039530355,0.284446224,"Hist1h4m",100041230,"H3K4me3_H3K27ac_RNA"
"26889",26889,"ENSMUSG00000060981",30,56,50,34,36,29,0.390421284,0.74258917,0.645899911,0.434403049,0.468505541,0.443329904,38.60897066,0.438225909,0.286734078,1.528335634,0.126429227,0.498879002,"Hist1h4h",69386,"H3K4me3_H3K27ac_RNA"
"27380",27380,"ENSMUSG00000100210",31,33,32,19,29,17,0.225029375,0.244084281,0.230574081,0.135404419,0.210511351,0.144958351,28.86571033,0.545090696,0.33345658,1.634667684,0.10211873,0.457255208,"Hist1h3f",260423,"H3K4me3_H3K27ac_RNA"
"23308",23308,"ENSMUSG00000069273",29,28,30,25,35,18,0.213533045,0.210074568,0.219266022,0.180721083,0.257712295,0.155688451,28.4180442,0.142972092,0.325917217,0.438676097,0.66089625,0.903742686,"Hist1h3e",319151,"H3K4me3_H3K27ac_RNA"
"7134",7134,"ENSMUSG00000047246",27,37,34,36,46,35,0.023948464,0.033439824,0.029934762,0.031348598,0.040801087,0.036466891,33.95321419,-0.276437587,0.285538655,-0.968126671,0.332981111,0.730881352,"Hist1h2be",319179,"H3K4me3_H3K27ac_RNA"
"17788",17788,"ENSMUSG00000036006",1884,1816,1706,1881,1863,1556,0.635603968,0.624266311,0.571304595,0.623011716,0.62851921,0.616640566,1784.009007,0.008121511,0.060690194,0.133819159,0.893545576,0.973817079,"Ripor2",193385,"H3K4me3_H3K27ac_RNA"
"21760",21760,"ENSMUSG00000006715",1210,1064,1128,1138,1091,908,3.535038976,3.167370133,3.271153507,3.264020032,3.187378118,3.116100689,994.4738465,0.096500517,0.079353767,1.216079843,0.223954508,0.635414429,"Gmnn",57441,"H3K4me3_H3K27ac_RNA"
"18150",18150,"ENSMUSG00000038372",608,674,647,657,680,545,0.807820092,0.912471526,0.853293311,0.856994744,0.903482998,0.850598028,557.4644312,0.015617176,0.08177973,0.190966343,0.848551962,0.961370444,"Gmds",218138,"H3K4me3_H3K27ac_RNA"
"21500",21500,"ENSMUSG00000071451",300,272,261,301,262,210,2.485454475,2.296158245,2.146387124,2.448233131,2.170630241,2.043716496,270.7500696,0.08965103,0.128732994,0.696410663,0.486171687,0.824698554,"Psmg4",69666,"H3K4me3_H3K27ac_RNA"
"19248",19248,"ENSMUSG00000038175",339,390,361,368,386,294,0.515377309,0.604141341,0.544773265,0.549256406,0.5868308,0.525036774,333.7993625,0.038140699,0.109429069,0.34854266,0.727432681,0.92915035,"Mylip",218203,"H3K4me3_H3K27ac_RNA"
"26003",26003,"ENSMUSG00000044231",26,20,21,24,15,14,0.06979795,0.0547076,0.055959213,0.063253167,0.040268048,0.044148317,20.00919715,0.31874292,0.393323415,0.810383792,0.41771963,0.788749569,"Nhlrc1",105193,"H3K4me3_H3K27ac_RNA"
