"","HGNC.symbol","MGI.symbol","cluster"
"136","DNTTIP2","Dnttip2","tp53_pathway"
"137","CASP1","Casp1","tp53_pathway"
"138","STOM","Stom","tp53_pathway"
"139","TSPYL2","Tspyl2","tp53_pathway"
"140","PHLDA3","Phlda3","tp53_pathway"
"141","INHBB","Inhbb","tp53_pathway"
"142","BAK1","Bak1","tp53_pathway"
"143","VWA5A","Vwa5a","tp53_pathway"
"144","VWA5A","AW551984","tp53_pathway"
"145","ACVR1B","Acvr1b","tp53_pathway"
"146","PPM1D","Ppm1d","tp53_pathway"
"147","RPL36","Rpl36","tp53_pathway"
"148","SESN1","Sesn1","tp53_pathway"
"149","PLK2","Plk2","tp53_pathway"
"150","SAT1","Sat1","tp53_pathway"
"151","TRIB3","Trib3","tp53_pathway"
"152","CSRNP2","Csrnp2","tp53_pathway"
"153","RPS12","Rps12","tp53_pathway"
"154","IER5","Ier5","tp53_pathway"
"155","HINT1","Hint1","tp53_pathway"
"156","APAF1","Apaf1","tp53_pathway"
"157","RETSAT","Retsat","tp53_pathway"
"158","H2AJ","H2aj","tp53_pathway"
"159","FOXO3","Foxo3","tp53_pathway"
"160","ATF3","Atf3","tp53_pathway"
"161","MXD4","Mxd4","tp53_pathway"
"162","SP1","Sp1","tp53_pathway"
"163","VDR","Vdr","tp53_pathway"
"164","ISCU","Iscu","tp53_pathway"
"165","EPHA2","Epha2","tp53_pathway"
"166","RRAD","Rrad","tp53_pathway"
"167","ALOX15B","Alox8","tp53_pathway"
"168","TRAF4","Traf4","tp53_pathway"
"169","RACK1","Rack1","tp53_pathway"
"170","CLCA2","Clca2","tp53_pathway"
"171","TSC22D1","Tsc22d1","tp53_pathway"
"172","SEC61A1","Sec61a1","tp53_pathway"
"173","CCND3","Ccnd3","tp53_pathway"
"174","HBEGF","Hbegf","tp53_pathway"
"175","SOCS1","Socs1","tp53_pathway"
"176","POM121","Pom121","tp53_pathway"
"177","EI24","Ei24","tp53_pathway"
"178","TP53","Trp53","tp53_pathway"
"179","IP6K2","Ip6k2","tp53_pathway"
"180","PROCR","Procr","tp53_pathway"
"181","JAG2","Jag2","tp53_pathway"
"182","RGS16","Rgs16","tp53_pathway"
"183","ABAT","Abat","tp53_pathway"
"184","H2AW","H2aw","tp53_pathway"
"185","RALGDS","Ralgds","tp53_pathway"
"186","TRIAP1","Triap1","tp53_pathway"
"187","CEBPA","Cebpa","tp53_pathway"
"188","CD81","Cd81","tp53_pathway"
"189","NDRG1","Ndrg1","tp53_pathway"
"190","BLCAP","Blcap","tp53_pathway"
"191","MAPKAPK3","Mapkapk3","tp53_pathway"
"192","RPL18","Rpl18","tp53_pathway"
"193","ZBTB16","Zbtb16","tp53_pathway"
"194","ABHD4","Abhd4","tp53_pathway"
"195","PLXNB2","Plxnb2","tp53_pathway"
"196","COQ8A","Coq8a","tp53_pathway"
"197","TNFSF9","Tnfsf9","tp53_pathway"
