"","fold_change","cluster","log_mean"
"9808",6.2972,"co_binding",2.65471048828597
"644",4.45824,"co_binding",2.15647428314991
"645",3.15298,"co_binding",1.65671601873919
"9809",3.75217,"co_binding",1.90772519368509
"649",2.76718,"co_binding",1.46841649167507
"650",3.22838,"co_binding",1.69081040260876
"651",3.85066,"co_binding",1.94510574376104
"652",2.78487,"co_binding",1.4776099829575
"653",2.45972,"co_binding",1.29849409702692
"9812",1.62954,"co_binding",0.704464766064424
"9813",2.86119,"co_binding",1.51661530435674
"9814",2.83727,"co_binding",1.50450344674423
"657",5.48613,"co_binding",2.45578880886741
"9818",4.46782,"co_binding",2.15957106354316
"668",3.37943,"co_binding",1.75677993126483
"9826",3.30268,"co_binding",1.72363719221568
"701",7.84027,"co_binding",2.97090333813561
"9851",9.17897,"co_binding",3.19833227354519
"9852",3.05941,"co_binding",1.61325345940687
"702",13.33221,"co_binding",3.73684404198855
"703",2.76718,"co_binding",1.46841649167507
"9853",14.19131,"co_binding",3.82693586562981
"711",8.17084,"co_binding",3.03048440169282
"9859",6.01501,"co_binding",2.58856713589485
"713",2.90103,"co_binding",1.53656521474564
"9861",2.71663,"co_binding",1.44181808653354
"714",3.51066,"co_binding",1.81174228101905
"9862",2.75223,"co_binding",1.46060103907859
"721",8.45528,"co_binding",3.07985253085321
"9868",9.06774,"co_binding",3.1807430251669
"723",7.22542,"co_binding",2.85308145118508
"9870",5.15923,"co_binding",2.36715576369605
"728",5.58341,"co_binding",2.48114649974147
"9874",6.17708,"co_binding",2.62692501530455
"729",6.74278,"co_binding",2.75334352691309
"9875",3.03975,"co_binding",1.60395267610591
"9876",2.97047,"co_binding",1.57069121823922
"9877",2.50145,"co_binding",1.32276461544356
"9878",8.02646,"co_binding",3.00476383998306
"730",4.53602,"co_binding",2.18142700135536
"9879",2.97047,"co_binding",1.57069121823922
"9880",3.06992,"co_binding",1.61820106044657
"9881",5.37341,"co_binding",2.42583792224376
"748",7.99408,"co_binding",2.99893201046486
"9893",6.09727,"co_binding",2.60816343299395
"756",6.84958,"co_binding",2.77601552814704
"757",2.99612,"co_binding",1.58309540748755
"9897",4.50188,"co_binding",2.17052760150281
"758",2.60064,"co_binding",1.37886670448636
"759",5.92203,"co_binding",2.56609179898247
"760",2.33452,"co_binding",1.22312594830476
"761",2.56798,"co_binding",1.36063396647378
"9898",6.88724,"co_binding",2.78392595157262
"762",7.8868,"co_binding",2.97944005808644
"9899",6.24199,"co_binding",2.64200604598478
"765",4.88389,"co_binding",2.28803070682785
"766",3.38211,"co_binding",1.75792358283298
"9903",6.2375,"co_binding",2.6409679104499
"771",4.91943,"co_binding",2.29849116438315
"9908",3.51821,"co_binding",1.81484159904537
"773",11.84525,"co_binding",3.56623674259629
"774",2.70516,"co_binding",1.43571392654008
"775",2.99612,"co_binding",1.58309540748755
"9910",7.86388,"co_binding",2.97524130683544
"796",11.5784,"co_binding",3.53336399833981
"9927",11.5004,"co_binding",3.5236121358814
"893",4.55232,"co_binding",2.18660197376635
"894",2.91816,"co_binding",1.54505898705234
"895",2.97764,"co_binding",1.5741693410222
"896",2.64544,"co_binding",1.40350769701795
"9997",4.72536,"co_binding",2.24042424476867
"9998",2.75559,"co_binding",1.4623612476325
"9999",3.75217,"co_binding",1.90772519368509
"897",2.92091,"co_binding",1.54641790607738
"898",2.87281,"co_binding",1.52246258001903
"899",2.72917,"co_binding",1.4484622628855
"900",2.54671,"co_binding",1.34863468580684
"901",3.22838,"co_binding",1.69081040260876
"902",2.54369,"co_binding",1.34692285980705
"903",4.81059,"co_binding",2.26621384573636
"904",3.32888,"co_binding",1.73503686491336
"905",4.74543,"co_binding",2.2465388208102
"906",3.03488,"co_binding",1.6016394730452
"907",3.53584,"co_binding",1.82205299293378
"908",3.0238,"co_binding",1.59636272006486
"909",3.89496,"co_binding",1.96160851234395
"10000",2.64114,"co_binding",1.40116077706445
"10001",6.88899,"co_binding",2.78429248382928
"10002",2.58378,"co_binding",1.36948323472957
"10003",2.73577,"co_binding",1.45194694593752
"10004",2.50145,"co_binding",1.32276461544356
"10005",3.59583,"co_binding",1.84632481619319
"10006",2.62129,"co_binding",1.39027697152886
"10007",2.50145,"co_binding",1.32276461544356
"910",2.52001,"co_binding",1.33342945869415
"911",2.80143,"co_binding",1.48616344405318
"912",4.1926,"co_binding",2.06784519470997
"913",3.22838,"co_binding",1.69081040260876
"10008",2.65779,"co_binding",1.41022711743297
"10009",2.65779,"co_binding",1.41022711743297
"10010",3.28315,"co_binding",1.71508066502285
"10011",2.96646,"co_binding",1.56874232950591
"10012",3.59583,"co_binding",1.84632481619319
"10013",2.97047,"co_binding",1.57069121823922
"10014",3.75217,"co_binding",1.90772519368509
"936",3.22838,"co_binding",1.69081040260876
"937",3.93194,"co_binding",1.97524130683544
"938",5.92203,"co_binding",2.56609179898247
"939",3.22838,"co_binding",1.69081040260876
"940",3.53584,"co_binding",1.82205299293378
"10037",3.84184,"co_binding",1.94179743675119
"10038",4.6235,"co_binding",2.20898538864234
"963",13.18294,"co_binding",3.72060024447629
"10054",11.85501,"co_binding",3.56742497465746
"984",7.92909,"co_binding",2.98715530126083
"10075",6.42164,"co_binding",2.68294178920375
"999",6.30302,"co_binding",2.6560432405292
"10085",6.09727,"co_binding",2.60816343299395
"1000",7.13084,"co_binding",2.83407203353506
"10086",6.77605,"co_binding",2.7604445202554
"1013",2.98284,"co_binding",1.57668659336292
"1014",3.44207,"co_binding",1.7832764371881
"1015",4.2734,"co_binding",2.09538436289022
"1016",2.45106,"co_binding",1.29340580066455
"1017",3.38506,"co_binding",1.75918140571617
"10097",2.85885,"co_binding",1.51543492569365
"10098",2.57507,"co_binding",1.36461165065711
"10099",4.19916,"co_binding",2.07010076002547
"10100",4.88004,"co_binding",2.28689297310888
"10101",3.05194,"co_binding",1.60972659960582
"1020",6.40608,"co_binding",2.67944181479736
"10103",8.59202,"co_binding",3.1029973515481
"1027",9.67333,"co_binding",3.27401261643258
"1028",3.19534,"co_binding",1.67596944923684
"1029",2.26129,"co_binding",1.17714602293109
"10107",5.38061,"co_binding",2.4277697404562
"10108",2.60698,"co_binding",1.38237951497493
"10109",5.43195,"co_binding",2.441470199928
"1030",11.06873,"co_binding",3.46841779507274
"10110",7.42563,"co_binding",2.89251343120884
"1034",4.04839,"co_binding",2.01734827816555
"1035",4.49419,"co_binding",2.1680611183459
"10114",4.71161,"co_binding",2.23622012610559
"1047",11.26704,"co_binding",3.4940366451611
"10123",10.24712,"co_binding",3.35714658554017
"1048",3.08002,"co_binding",1.62293971903938
"1049",3.1658,"co_binding",1.66257011582815
"1050",4.48659,"co_binding",2.16561935161113
"1051",2.94443,"co_binding",1.55798837573163
"1052",4.79066,"co_binding",2.26022442697065
"10124",3.78856,"co_binding",1.92164959625246
"10125",3.79537,"co_binding",1.92424053679887
"10126",3.84891,"co_binding",1.94444993665363
"10127",3.62711,"co_binding",1.85882049883675
"1060",9.0252,"co_binding",3.1739589027268
"10135",9.1976,"co_binding",3.20125745684324
"1071",4.02258,"co_binding",2.00812111316888
"1072",2.46377,"co_binding",1.3008675825965
"10142",4.54817,"co_binding",2.18528617981796
"1114",5.73678,"co_binding",2.5202411930823
"10170",5.12315,"co_binding",2.35703113287935
"1140",6.76422,"co_binding",2.75792358283298
"10196",5.31557,"co_binding",2.4102244033427
"1144",2.51,"co_binding",1.32768736417605
